order_id,customer_id,store_id,order_date,channel,payment_method,order_status
O000228,C04596,ST005,2024-11-27,Physical Store,Credit Card,Completed
O000229,C04989,ST003,2026-07-19,Physical Store,UPI,Completed
O000230,C02532,ST003,2026-08-11,Physical Store,UPI,Completed
O000231,C03284,ONLINE,2024-11-07,Online,Wallet,Completed
O000232,C04346,ONLINE,2025-06-14,Online,Credit Card,Completed
O000233,C02553,ST005,2024-12-15,Physical Store,UPI,Completed
O000234,C01290,ST001,2024-09-26,Physical Store,UPI,Completed
O000235,C03474,ONLINE,2025-05-22,Online,UPI,Completed
O000236,C04198,ONLINE,2025-06-03,Online,UPI,Completed
O000237,C04859,ONLINE,2024-10-03,Online,UPI,Completed
O000238,C04910,ONLINE,2026-01-20,Online,UPI,Completed
O000239,C01125,ST003,2025-09-16,Physical Store,UPI,Completed
O000240,C03528,ONLINE,2025-07-24,Online,Credit Card,Completed
O000241,C04578,ST003,2026-06-05,Physical Store,UPI,Completed
O000242,C03574,ONLINE,2026-05-30,Online,Net Banking,Completed
O000243,C04698,ONLINE,2024-10-31,Online,UPI,Completed
O000244,C00171,ST002,2024-11-23,Physical Store,Credit Card,Completed
O000245,C02965,ONLINE,2026-05-01,Online,UPI,Completed
O000246,C04293,ONLINE,2025-10-04,Online,Debit Card,Completed
O000247,C01378,ONLINE,2024-11-07,Online,UPI,Completed
O000248,C02863,ONLINE,2024-10-26,Online,Debit Card,Completed
O000249,C01200,ONLINE,2026-02-21,Online,Credit Card,Completed
O000250,C00618,ONLINE,2024-11-12,Online,Credit Card,Completed
O000251,C04748,ONLINE,2025-01-16,Online,Credit Card,Returned
O000252,C02648,ST003,2026-03-16,Physical Store,UPI,Completed
O000253,C02481,ST005,2026-06-21,Physical Store,UPI,Completed
O000254,C03783,ONLINE,2026-06-20,Online,UPI,Completed
O000255,C00740,ST005,2025-07-20,Physical Store,Credit Card,Completed
O000256,C00337,ONLINE,2025-01-09,Online,Credit Card,Completed
O000257,C03897,ONLINE,2026-06-15,Online,Credit Card,Completed
O000258,C02814,ST001,2025-03-19,Physical Store,Credit Card,Completed
O000259,C03587,ST005,2025-02-28,Physical Store,Credit Card,Completed
O000260,C02318,ONLINE,2025-09-05,Online,Credit Card,Completed
O000261,C02742,ONLINE,2026-05-13,Online,Credit Card,Completed
O000262,C02065,ST005,2026-03-17,Physical Store,UPI,Completed
O000263,C01159,ST003,2024-10-15,Physical Store,Credit Card,Completed
O000264,C04875,ST001,2025-10-04,Physical Store,Credit Card,Completed
O000265,C02691,ST005,2026-05-14,Physical Store,Credit Card,Completed
O000266,C02965,ONLINE,2025-10-05,Online,UPI,Completed
O000267,C03984,ONLINE,2026-03-30,Online,UPI,Completed
O000268,C00829,ONLINE,2025-02-11,Online,Debit Card,Completed
O000269,C00310,ST005,2026-04-05,Physical Store,Credit Card,Completed
O000270,C01482,ST005,2026-03-01,Physical Store,Debit Card,Completed
O000271,C02985,ST002,2025-05-20,Physical Store,Credit Card,Completed
O000272,C03678,ONLINE,2025-12-16,Online,UPI,Completed
O000273,C03843,ST002,2025-08-06,Physical Store,Credit Card,Completed
O000274,C03610,ONLINE,2025-11-02,Online,Debit Card,Completed
O000275,C03430,ST002,2024-12-06,Physical Store,UPI,Completed
O000276,C03937,ST005,2026-05-04,Physical Store,Debit Card,Completed
O000277,C01022,ONLINE,2026-03-06,Online,UPI,Cancelled
O000278,C01208,ST001,2026-01-02,Physical Store,Debit Card,Completed
O000279,C00219,ONLINE,2025-07-08,Online,Credit Card,Completed
O000280,C00669,ONLINE,2026-07-20,Online,UPI,Completed
O000281,C02747,ST002,2026-07-09,Physical Store,UPI,Completed
O000282,C01137,ST004,2025-05-15,Physical Store,Credit Card,Cancelled
O000283,C00156,ONLINE,2026-03-17,Online,Credit Card,Completed
O000284,C04324,ONLINE,2025-10-26,Online,UPI,Completed
O000285,C01954,ONLINE,2024-11-18,Online,Credit Card,Completed
O000286,C04095,ST001,2024-11-08,Physical Store,Credit Card,Completed
O000287,C01177,ONLINE,2026-08-16,Online,Credit Card,Completed
O000288,C03413,ONLINE,2024-10-02,Online,UPI,Returned
O000289,C00555,ST005,2025-03-16,Physical Store,Debit Card,Completed
O000290,C00167,ONLINE,2025-04-23,Online,UPI,Completed
O000291,C03059,ONLINE,2026-08-01,Online,UPI,Completed
O000292,C01976,ST001,2024-12-30,Physical Store,Debit Card,Completed
O000293,C00364,ONLINE,2025-09-05,Online,Debit Card,Completed
O000294,C03807,ST004,2024-11-09,Physical Store,UPI,Completed
O000295,C03750,ONLINE,2026-01-23,Online,UPI,Completed
O000296,C00344,ONLINE,2025-10-04,Online,Credit Card,Returned
O000297,C04449,ONLINE,2026-07-11,Online,Debit Card,Completed
O000298,C02925,ST001,2024-10-15,Physical Store,UPI,Completed
O000299,C03015,ONLINE,2025-07-04,Online,Debit Card,Completed
O000300,C03168,ONLINE,2026-02-07,Online,Credit Card,Completed
O000301,C04254,ONLINE,2026-05-25,Online,Debit Card,Completed
O000302,C04936,ST002,2025-02-05,Physical Store,UPI,Completed
O000303,C02687,ST003,2025-05-18,Physical Store,Credit Card,Completed
O000304,C03637,ONLINE,2026-07-05,Online,Debit Card,Cancelled
O000305,C03564,ONLINE,2026-06-20,Online,UPI,Completed
O000306,C02977,ONLINE,2024-09-21,Online,UPI,Completed
O000307,C04978,ST004,2026-07-13,Physical Store,UPI,Completed
O000308,C03001,ONLINE,2025-01-14,Online,UPI,Completed
O000309,C03686,ST003,2025-05-20,Physical Store,Debit Card,Completed
O000310,C04338,ONLINE,2025-09-30,Online,Credit Card,Completed
O000311,C00930,ONLINE,2026-02-08,Online,Credit Card,Completed
O000312,C04602,ONLINE,2025-11-24,Online,Debit Card,Completed
O000313,C02340,ST004,2026-01-25,Physical Store,UPI,Completed
O000314,C03704,ONLINE,2024-08-17,Online,UPI,Completed
O000315,C02619,ST001,2025-01-31,Physical Store,Credit Card,Completed
O000316,C01291,ST002,2025-08-12,Physical Store,Credit Card,Completed
O000317,C01647,ST002,2025-03-30,Physical Store,UPI,Completed
O000318,C03023,ONLINE,2025-01-30,Online,UPI,Completed
O000319,C00539,ONLINE,2025-04-14,Online,Credit Card,Completed
O000320,C04710,ONLINE,2025-09-27,Online,Credit Card,Completed
O000321,C04239,ONLINE,2025-01-30,Online,Credit Card,Completed
O000322,C01058,ONLINE,2026-06-22,Online,Debit Card,Completed
O000323,C02492,ONLINE,2025-09-21,Online,Net Banking,Completed
O000324,C04251,ST001,2025-12-04,Physical Store,UPI,Cancelled
O000325,C02249,ONLINE,2025-10-11,Online,Credit Card,Completed
O000326,C01382,ST005,2026-03-13,Physical Store,UPI,Completed
O000327,C04958,ONLINE,2025-01-17,Online,UPI,Completed
O000328,C00666,ONLINE,2024-10-30,Online,Debit Card,Completed
O000329,C01727,ST004,2024-11-23,Physical Store,Credit Card,Completed
O000330,C04470,ONLINE,2025-10-12,Online,Credit Card,Completed
O000331,C03327,ONLINE,2026-06-04,Online,Credit Card,Completed
O000332,C03405,ONLINE,2026-01-21,Online,UPI,Completed
O000333,C02616,ST003,2025-07-05,Physical Store,UPI,Completed
O000334,C04602,ONLINE,2025-12-13,Online,Credit Card,Completed
O000335,C02031,ONLINE,2026-06-27,Online,UPI,Completed
O000336,C03426,ONLINE,2026-03-07,Online,Debit Card,Cancelled
O000337,C02562,ONLINE,2026-03-07,Online,Credit Card,Completed
O000338,C04086,ST004,2026-07-25,Physical Store,UPI,Completed
O000339,C03746,ST002,2024-12-28,Physical Store,UPI,Completed
O000340,C04055,ST004,2025-10-29,Physical Store,Credit Card,Completed
O000341,C03531,ONLINE,2025-11-20,Online,Debit Card,Completed
O000342,C02998,ONLINE,2026-06-26,Online,Credit Card,Completed
O000343,C04533,ONLINE,2025-07-18,Online,Credit Card,Completed
O000344,C02292,ST005,2024-09-20,Physical Store,Credit Card,Completed
O000345,C00793,ONLINE,2025-09-04,Online,Credit Card,Completed
O000346,C01182,ONLINE,2025-03-14,Online,UPI,Completed
O000347,C00319,ONLINE,2025-09-10,Online,Debit Card,Completed
O000348,C01221,ST005,2026-03-27,Physical Store,UPI,Completed
O000349,C01332,ONLINE,2024-11-24,Online,Debit Card,Completed
O000350,C02756,ONLINE,2025-03-14,Online,Credit Card,Completed
O000351,C02456,ONLINE,2026-07-31,Online,UPI,Completed
O000352,C03413,ST001,2024-12-14,Physical Store,Credit Card,Returned
O000353,C04739,ST001,2024-12-28,Physical Store,Credit Card,Completed
O000354,C03115,ONLINE,2024-09-19,Online,UPI,Completed
O000355,C00901,ONLINE,2025-05-23,Online,UPI,Completed
O000356,C01671,ONLINE,2024-11-29,Online,Net Banking,Completed
O000357,C00511,ST005,2026-01-17,Physical Store,Credit Card,Returned
O000358,C03919,ONLINE,2025-09-30,Online,Wallet,Completed
O000359,C04368,ONLINE,2025-08-20,Online,Credit Card,Completed
O000360,C02166,ST002,2025-12-08,Physical Store,UPI,Completed
O000361,C02439,ST002,2024-09-10,Physical Store,Debit Card,Completed
O000362,C02858,ST003,2025-10-27,Physical Store,UPI,Completed
O000363,C03111,ST004,2025-08-29,Physical Store,Wallet,Completed
O000364,C02380,ONLINE,2026-05-29,Online,UPI,Completed
O000365,C02101,ST002,2026-01-23,Physical Store,Debit Card,Completed
O000366,C04605,ST002,2026-04-28,Physical Store,Credit Card,Completed
O000367,C01987,ONLINE,2025-02-20,Online,UPI,Completed
O000368,C00821,ONLINE,2025-04-21,Online,UPI,Completed
O000369,C00043,ST002,2025-06-27,Physical Store,Credit Card,Completed
O000370,C03897,ONLINE,2026-01-25,Online,Debit Card,Completed
O000371,C02339,ST001,2024-10-19,Physical Store,Credit Card,Completed
O000372,C00306,ST002,2025-06-16,Physical Store,Net Banking,Completed
O000373,C00298,ST004,2025-03-28,Physical Store,UPI,Completed
O000374,C02372,ST001,2025-10-16,Physical Store,Credit Card,Completed
O000375,C02745,ONLINE,2024-10-30,Online,Credit Card,Completed
O000376,C01100,ST004,2025-11-11,Physical Store,UPI,Completed
O000377,C01332,ST003,2026-02-08,Physical Store,UPI,Completed
O000378,C02417,ST002,2026-02-19,Physical Store,Credit Card,Completed
O000379,C03322,ST005,2025-09-16,Physical Store,UPI,Completed
O000380,C01514,ST004,2025-09-20,Physical Store,Net Banking,Completed
O000381,C03143,ONLINE,2025-11-17,Online,Wallet,Completed
O000382,C04694,ONLINE,2024-10-17,Online,UPI,Completed
O000383,C00969,ONLINE,2026-03-07,Online,UPI,Completed
O000384,C02548,ST003,2025-08-06,Physical Store,Credit Card,Completed
O000385,C01095,ONLINE,2025-05-09,Online,Debit Card,Completed
O000386,C03407,ST004,2025-02-13,Physical Store,Debit Card,Completed
O000387,C02028,ST005,2026-05-26,Physical Store,Credit Card,Completed
O000388,C02964,ONLINE,2025-01-17,Online,UPI,Completed
O000389,C04141,ONLINE,2025-02-14,Online,UPI,Completed
O000390,C04263,ONLINE,2024-09-20,Online,UPI,Completed
O000391,C00745,ST004,2026-06-22,Physical Store,Credit Card,Completed
O000392,C03743,ST005,2025-05-01,Physical Store,Credit Card,Completed
O000393,C00179,ONLINE,2026-08-14,Online,Debit Card,Completed
O000394,C00372,ONLINE,2024-08-30,Online,UPI,Returned
O000395,C00566,ST004,2026-07-16,Physical Store,UPI,Completed
O000396,C01110,ST004,2025-07-30,Physical Store,Wallet,Completed
O000397,C03093,ONLINE,2024-09-17,Online,Wallet,Completed
O000398,C01090,ST003,2026-04-18,Physical Store,UPI,Completed
O000399,C04333,ONLINE,2026-01-01,Online,Debit Card,Completed
O000400,C02445,ONLINE,2025-02-06,Online,UPI,Completed
O000401,C01882,ONLINE,2025-08-28,Online,UPI,Completed
O000402,C00925,ONLINE,2024-10-10,Online,UPI,Completed
O000403,C00129,ONLINE,2026-06-10,Online,UPI,Completed
O000404,C04898,ST001,2025-12-10,Physical Store,Debit Card,Completed
O000405,C01920,ONLINE,2026-06-21,Online,UPI,Returned
O000406,C01919,ST005,2025-09-25,Physical Store,Credit Card,Completed
O000407,C02627,ONLINE,2026-03-24,Online,Wallet,Completed
O000408,C03388,ONLINE,2026-06-16,Online,Credit Card,Completed
O000409,C01435,ST004,2025-01-25,Physical Store,Credit Card,Returned
O000410,C03123,ST003,2024-09-03,Physical Store,UPI,Completed
O000411,C03084,ONLINE,2025-02-13,Online,Credit Card,Completed
O000412,C02464,ST002,2025-04-30,Physical Store,Net Banking,Completed
O000413,C03413,ST002,2025-07-16,Physical Store,UPI,Completed
O000414,C00648,ST003,2026-05-15,Physical Store,Credit Card,Completed
